Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Date_Created,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility,2024 Weeks Scraped
1483.0,57:30,Yomif KEJELCHA,ETH,Valencia (ESP),27 OCT 2024,1289,Half,M,30 Oct 24,,,,,
951.0,12:38.95,Yomif KEJELCHA,ETH,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1288,5000m,M,30 Oct 24,,,,,
639.0,8:44.39,Winfred YAVI,BRN,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1285,3000m Steeple,F,30 Oct 24,,,,,
321.0,3:50.30,Gudaf TSEGAY,ETH,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1285,1500m,F,30 Oct 24,,,,,
1853.0,2:02:44,John KORIR,KEN,"Chicago, IL (USA)",13 OCT 2024,1284,Full,M,30 Oct 24,105366367.0,1399.0,0.0,Public,45.0
2.0,1:41.46,Djamel SEDJATI,ALG,"Stade Louis II, Monaco (MON)",12 JUL 2024,1284,800m,M,30 Oct 24,,,,,
1854.0,2:02:55,Timothy KIPLAGAT,KEN,Tokyo (JPN),03 MAR 2024,1281,Full,M,30 Oct 24,,,,,
322.0,3:50.83,Jessica HULL,AUS,"Stade Charléty, Paris (FRA)",07 JUL 2024,1280,1500m,F,30 Oct 24,56768839.0,275.0,3.0,Public,45.0
952.0,12:40.96,Jacob KIPLIMO,UGA,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1280,5000m,M,30 Oct 24,,,,,
3.0,1:41.61,Gabriel TUAL,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1279,800m,M,30 Oct 24,45495569.0,416.0,251.0,Private,
,2:02:05,Sabastian Kimaru SAWE,KEN,Valencia (ESP),01 DEC 2024,1278,Full,M,15 Jan 25,,,,,
347.0,3:27.65,Cole HOCKER,USA,"Stade de France, Paris (FRA)",06 AUG 2024,1278,1500m,M,30 Oct 24,94919798.0,20.0,0.0,Public,45.0
1060.0,29:26.89,Lilian Kasait RENGERUK,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1278,10000m,F,30 Oct 24,,,,,
1061.0,29:27.59,Margaret Chelimo KIPKEMBOI,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1278,10000m,F,30 Oct 24,,,,,
4.0,1:41.67,Bryce HOPPEL,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1277,800m,M,30 Oct 24,17422250.0,934.0,0.0,Public,45.0
1213.0,1:03:04,Agnes Jebet NGETICH,KEN,Valencia (ESP),27 OCT 2024,1277,Half,F,30 Oct 24,,,,,
1468.0,2:15:55,Sutume Asefa KEBEDE,ETH,Tokyo (JPN),03 MAR 2024,1276,Full,F,30 Oct 24,,,,,
349.0,3:27.80,Yared NUGUSE,USA,"Stade de France, Paris (FRA)",06 AUG 2024,1276,1500m,M,30 Oct 24,133353132.0,0.0,0.0,Public,45.0
348.0,3:27.79,Josh KERR,GBR,"Stade de France, Paris (FRA)",06 AUG 2024,1276,1500m,M,30 Oct 24,18748153.0,1017.0,219.0,Public,45.0
640.0,8:48.03,Peruth CHEMUTAI,UGA,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1275,3000m Steeple,F,30 Oct 24,90627564.0,0.0,0.0,Public,45.0
1469.0,2:16:07,Tigist KETEMA,ETH,Dubai (UAE),07 JAN 2024,1274,Full,F,30 Oct 24,,,,,
,29:32,Lilian Kasait RENGERUK,KEN,Valencia (ESP),14 JAN 2024,1274,10k Road,F,15 Jan 25,,,,,
1855.0,2:03:17,Milkesa MENGESHA,ETH,Berlin (GER),29 SEP 2024,1274,Full,M,30 Oct 24,,,,,
976.0,12:57.14,Nico YOUNG,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1274,5000m,M,30 Oct 24,143032586.0,0.0,1.0,Public,45.0
1856.0,2:03:22,CyBrian KOTUT,KEN,Berlin (GER),29 SEP 2024,1273,Full,M,30 Oct 24,,,,,
1248.0,26:31.13,Berihu AREGAWI,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1273,10000m,M,30 Oct 24,,,,,
1247.0,26:31.01,Yomif KEJELCHA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1273,10000m,M,30 Oct 24,,,,,
,40:42,Jacob KIPLIMO,UGA,Nijmegen (NED),17 NOV 2024,1272,15k Road,M,15 Jan 25,,,,,
1470.0,2:16:14,Rosemary WANJIRU,KEN,Tokyo (JPN),03 MAR 2024,1272,Full,F,30 Oct 24,,,,,
1471.0,2:16:16,Peres JEPCHIRCHIR,KEN,London (GBR),21 APR 2024,1272,Full,F,30 Oct 24,,,,,
977.0,12:57.52,Edwin KURGAT,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1272,5000m,M,30 Oct 24,,,,,
1472.0,2:16:23,Tigst ASSEFA,ETH,London (GBR),21 APR 2024,1271,Full,F,30 Oct 24,,,,,
1473.0,2:16:24,Joyciline JEPKOSGEI,KEN,London (GBR),21 APR 2024,1271,Full,F,30 Oct 24,,,,,
1857.0,2:03:27,Deresa GELETA,ETH,Sevilla (ESP),18 FEB 2024,1271,Full,M,30 Oct 24,,,,,
1858.0,2:03:31,Haymanot ALEW,ETH,Berlin (GER),29 SEP 2024,1270,Full,M,30 Oct 24,,,,,
